SONG-NAME,MOOD,LANGUAGE,AUDIO_LINK,VIDEO_LINK,AUDIO_ID,VIDEO_ID
Kesariya,Happy,Hindi,https://drive.google.com/file/d/1_XhJgas2gGf27P4imH9vCbZOqD_2JNWk/view?usp=sharing,https://youtu.be/BddP6PYo2gs,1_XhJgas2gGf27P4imH9vCbZOqD_2JNWk,BddP6PYo2gs
Filhaal,Sad,Hindi,https://drive.google.com/file/d/1wHvVPdJvlM85ZU0nY6yQjOdWRX0NIrLE/view?usp=share_link,https://youtu.be/hMy5za-m5Ew,1wHvVPdJvlM85ZU0nY6yQjOdWRX0NIrLE,hMy5za-m5Ew
soch na sake,Sad,Hindi,https://drive.google.com/file/d/1NCxml-gwJe6YpvwC0W34gESv2Q97wc7W/view?usp=share_link,https://youtu.be/MRtRcTfszjY,1NCxml-gwJe6YpvwC0W34gESv2Q97wc7W,MRtRcTfszjY
kala chashma,Happy,Hindi,https://drive.google.com/file/d/1KS0ZS-FhvoUb_emkTSJ0t-tbh5gVU7M6/view?usp=share_link,https://youtu.be/k4yXQkG2s1E,1KS0ZS-FhvoUb_emkTSJ0t-tbh5gVU7M6,k4yXQkG2s1E
bhekayali,Sad,Hindi,https://drive.google.com/file/d/1zRY2C0OYeB-w8jXnQZgGmyDQgVqlcWGp/view?usp=share_link,https://youtu.be/VOLKJJvfAbg,1zRY2C0OYeB-w8jXnQZgGmyDQgVqlcWGp,VOLKJJvfAbg
dil ko karaar aaya,Sad,Hindi,https://drive.google.com/file/d/134Sa5Fm_3RnJtfE_Q3Ohaqka58RRrp64/view?usp=share_link,https://youtu.be/lX3vT_Gm_HE,134Sa5Fm_3RnJtfE_Q3Ohaqka58RRrp64,lX3vT_Gm_HE
badtameez dil,Happy,Hindi,https://drive.google.com/file/d/1kqjhmjiYQqKvQHdEtzXaNGZM1aSvMYUx/view?usp=share_link,https://youtu.be/II2EO3Nw4m0,1kqjhmjiYQqKvQHdEtzXaNGZM1aSvMYUx,II2EO3Nw4m0
sanam re,Sad,Hindi,https://drive.google.com/file/d/1IT9p8DIJiOdPW1ZhI4ewbTNF_eJzM0qr/view?usp=share_link,https://youtu.be/DS-raAyMxl4,1IT9p8DIJiOdPW1ZhI4ewbTNF_eJzM0qr,DS-raAyMxl4
channa mereya,Sad,Hindi,https://drive.google.com/file/d/1R77VZ1YcJvEykGuH-mOHcF8lxmVWgenG/view?usp=share_link,https://youtu.be/284Ov7ysmfA,1R77VZ1YcJvEykGuH-mOHcF8lxmVWgenG,284Ov7ysmfA
lungi dance,Happy,Hindi,https://drive.google.com/file/d/1GfFMoGQARVVIZq2mvwP-vzK9j2-x7aGs/view?usp=share_link,https://youtu.be/69CEiHfS_mc,1GfFMoGQARVVIZq2mvwP-vzK9j2-x7aGs,69CEiHfS_mc
